City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Jamestown,US,77.02,broken clouds,42.097,-79.2353,
3,Hilo,US,82.26,clear sky,19.7297,-155.09,
4,Hithadhoo,MV,81.57,clear sky,-0.6,73.0833,
7,Bethel,US,78.19,clear sky,41.3712,-73.414,
9,Aguimes,ES,77.67,few clouds,27.9054,-15.4461,
10,Ribeira Grande,PT,75.6,light intensity shower rain,38.5167,-28.7,
11,Mindelo,CV,81.95,broken clouds,16.8901,-24.9804,
16,Pasighat,IN,75.56,overcast clouds,28.0667,95.3333,
20,Vaitape,PF,78.55,light rain,-16.5167,-151.75,
22,Porto Novo,BJ,77.29,overcast clouds,6.4965,2.6036,
23,Albany,US,75.27,clear sky,42.6001,-73.9662,
25,Vaini,TO,75.25,light rain,-21.2,-175.2,
31,Itarema,BR,83.97,few clouds,-2.9248,-39.9167,
32,Alofi,NU,76.03,light rain,-19.0595,-169.9187,
37,Jodhpur,IN,85.62,few clouds,26.2867,73.03,
42,Kapaa,US,77.47,broken clouds,22.0752,-159.319,
53,Georgetown,MY,77.9,scattered clouds,5.4112,100.3354,
58,Atuona,PF,76.32,light rain,-9.8,-139.0333,
61,Tual,ID,82.26,overcast clouds,-5.6667,132.75,
67,Kahului,US,79.84,few clouds,20.8947,-156.47,
72,Minbu,MM,78.13,broken clouds,20.1833,94.8833,
77,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,
80,Tomatlan,MX,88.02,overcast clouds,19.9333,-105.25,
90,Manta,EC,78.58,scattered clouds,-0.95,-80.7333,
96,Mogadishu,SO,78.22,broken clouds,2.0371,45.3438,
100,Alamos,MX,88.72,few clouds,27.0167,-108.9333,
103,Douentza,ML,86.38,broken clouds,14.9951,-2.9517,
104,Vila Franca Do Campo,PT,75.61,broken clouds,37.7167,-25.4333,
107,Noumea,NC,75.99,broken clouds,-22.2763,166.4572,
116,Bubaque,GW,80.19,moderate rain,11.2833,-15.8333,
117,Dingle,PH,75.27,overcast clouds,10.9995,122.6711,
118,Cubulco,GT,76.46,overcast clouds,15.1333,-90.5833,
119,Mizdah,LY,81.3,few clouds,31.4451,12.9801,
122,Faanui,PF,78.53,light rain,-16.4833,-151.75,
135,Dalbandin,PK,84.52,clear sky,28.8947,64.4101,
138,Sola,VU,75.87,overcast clouds,-13.8833,167.55,
144,Yenagoa,NG,76.55,light rain,4.9247,6.2642,
145,Cabo San Lucas,MX,87.1,few clouds,22.8909,-109.9124,
152,Cockburn Town,TC,82.62,overcast clouds,21.4612,-71.1419,
155,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,
156,The Valley,AI,87.82,few clouds,18.217,-63.0578,
159,San Rafael Del Sur,NI,83.37,overcast clouds,11.8485,-86.4384,
162,Padang,ID,75.56,moderate rain,-0.9492,100.3543,
164,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,
166,Labuhan,ID,77.68,overcast clouds,-6.8844,112.2051,
167,Jacmel,HT,89.44,broken clouds,18.2342,-72.5347,
168,Pandan,PH,79.07,overcast clouds,14.0453,124.1694,
171,Kavaratti,IN,80.87,scattered clouds,10.5669,72.642,
172,Butaritari,KI,79.61,light rain,3.0707,172.7902,
179,Kavieng,PG,81.21,overcast clouds,-2.5744,150.7967,
181,Cayenne,GF,89.64,scattered clouds,4.9333,-52.3333,
185,Sao Joao Da Barra,BR,75.36,broken clouds,-21.6403,-41.0511,
188,Gonaives,HT,88.88,broken clouds,19.45,-72.6833,
196,Saint George,US,86.95,broken clouds,37.1041,-113.5841,
197,Biak,ID,75.38,broken clouds,-0.9131,122.8766,
198,Moctezuma,MX,83.71,broken clouds,29.8,-109.6667,
199,Port Blair,IN,80.47,overcast clouds,11.6667,92.75,
202,Belmonte,BR,78.82,broken clouds,-15.8631,-38.8828,
203,Veraval,IN,78.84,broken clouds,20.9,70.3667,
205,Touros,BR,82.08,clear sky,-5.1989,-35.4608,
206,Monteagudo,BO,77.36,overcast clouds,-19.8167,-63.9833,
208,Umm Lajj,SA,82.85,clear sky,25.0213,37.2685,
209,Marrakesh,MA,87.87,few clouds,31.6315,-8.0083,
211,Lompoc,US,78.01,scattered clouds,34.6391,-120.4579,
214,Damietta,EG,77.27,clear sky,31.4165,31.8133,
217,Ponta Do Sol,PT,75.83,broken clouds,32.6667,-17.1,
219,Buala,SB,76.17,overcast clouds,-8.145,159.5921,
220,Puerto Escondido,MX,85.03,scattered clouds,15.85,-97.0667,
223,Sarangani,PH,81.93,overcast clouds,5.4033,125.4636,
224,Palmer,US,75.24,scattered clouds,42.1584,-72.3287,
226,Kudahuvadhoo,MV,82.74,clear sky,2.6708,72.8944,
227,Bonthe,SL,76.14,light rain,7.5264,-12.505,
228,Segou,ML,80.58,overcast clouds,13.4317,-6.2157,
229,Kissamos,GR,75.9,clear sky,35.4939,23.6569,
233,Zhanaozen,KZ,77.23,clear sky,43.3,52.8,
234,Gigmoto,PH,78.75,overcast clouds,13.7796,124.39,
237,Meadow Lake,US,82.83,few clouds,34.8014,-106.5436,
242,Victoria,HK,83.32,overcast clouds,22.2855,114.1577,
248,Bafq,IR,83.79,clear sky,31.6128,55.4107,
250,Barcelos,PT,77.92,clear sky,41.5388,-8.6151,
255,Kutum,SD,82.11,broken clouds,14.2,24.6667,
257,Polis,CY,78.62,clear sky,35.0367,32.4264,
258,Elizabeth City,US,89.62,clear sky,36.2946,-76.2511,
259,Kadhan,PK,82.78,clear sky,24.481,68.9859,
261,Hobyo,SO,77.34,few clouds,5.3505,48.5268,
262,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,
264,San Quintin,MX,75.06,few clouds,30.4833,-115.95,
266,Lorengau,PG,79.05,few clouds,-2.0226,147.2712,
269,Guerrero Negro,MX,78.6,broken clouds,27.9769,-114.0611,
273,Abeche,TD,88.41,broken clouds,13.8292,20.8324,
274,Ingham,US,83.84,broken clouds,42.6,-84.3833,
275,Ambilobe,MG,76.32,broken clouds,-13.2,49.05,
279,Taitung,TW,76.57,overcast clouds,22.7583,121.1444,
285,Natal,BR,84.85,broken clouds,-5.795,-35.2094,
286,Khujner,IN,75.94,overcast clouds,23.7833,76.6,
290,Chavakkad,IN,78.21,clear sky,10.5333,76.05,
292,Fare,PF,78.08,light rain,-16.7,-151.0167,
307,Kodinar,IN,77.54,broken clouds,20.7903,70.7031,
309,Kulhudhuffushi,MV,81.59,clear sky,6.6221,73.07,
316,Padre Bernardo,BR,89.42,overcast clouds,-15.35,-48.5,
317,Shelburne,CA,77.45,broken clouds,44.0787,-80.2041,
320,Pa Sang,TH,77.2,overcast clouds,18.5262,98.9394,
324,Turayf,SA,75.67,clear sky,31.6725,38.6637,
331,Najran,SA,82.56,clear sky,17.4924,44.1277,
333,Auki,SB,75.7,overcast clouds,-8.7676,160.7034,
338,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,
339,Namatanai,PG,78.21,broken clouds,-3.6667,152.4333,
340,Trincomalee,LK,80.85,clear sky,8.5711,81.2335,
345,Tautira,PF,77.25,light rain,-17.7333,-149.15,
349,Isangel,VU,75.31,scattered clouds,-19.55,169.2667,
353,Havelock,US,87.78,clear sky,34.8791,-76.9013,
355,Luangwa,ZM,82.81,clear sky,-15.6167,30.4167,
358,Salalah,OM,80.69,broken clouds,17.0151,54.0924,
359,Axim,GH,76.71,scattered clouds,4.8699,-2.2405,
360,Grand-Santi,GF,89.06,broken clouds,4.25,-54.3833,
361,Lethem,GY,89.58,broken clouds,3.3803,-59.7968,
364,Sechura,PE,75.83,overcast clouds,-5.5569,-80.8222,
368,Pitimbu,BR,82.99,few clouds,-7.4706,-34.8086,
370,Lahaina,US,82.4,few clouds,20.8783,-156.6825,
372,Culasi,PH,76.21,light rain,11.4272,122.056,
376,Namuac,PH,77.58,overcast clouds,18.6109,121.1657,
386,Aitape,PG,75.81,broken clouds,-3.1374,142.3475,
388,Naze,JP,75.87,light rain,28.3667,129.4833,
392,Pemangkat,ID,77.68,overcast clouds,1.1667,108.9667,
393,Mbanza-Ngungu,CD,79.2,overcast clouds,-5.25,14.8667,
395,Sorong,ID,79.02,moderate rain,-0.8833,131.25,
396,Chatan,JP,79.38,scattered clouds,26.3094,127.7703,
401,Sohag,EG,86.04,clear sky,26.557,31.6948,
403,Muros,ES,76.15,few clouds,42.7762,-9.0603,
404,Nador,MA,75.45,broken clouds,35.174,-2.9287,
405,Sulangan,PH,83.68,overcast clouds,11.1373,123.7228,
408,Aden,YE,89.91,scattered clouds,12.7794,45.0367,
412,Vanimo,PG,76.23,overcast clouds,-2.6741,141.3028,
414,Kloulklubed,PW,83.08,broken clouds,7.0419,134.2556,
419,Guacara,VE,89.46,overcast clouds,10.2261,-67.877,
423,Sur,OM,82.4,clear sky,22.5667,59.5289,
424,Puerto Penasco,MX,86.92,broken clouds,31.3167,-113.5333,
425,Santa Cruz De La Palma,ES,77.14,scattered clouds,28.6835,-17.7642,
431,Coruripe,BR,78.96,few clouds,-10.1256,-36.1756,
439,Wapi Pathum,TH,79.32,light rain,15.8452,103.3768,
448,Puerto Cabezas,NI,89.56,broken clouds,14.0351,-83.3888,
452,Baracoa,CU,84.16,broken clouds,20.3467,-74.4958,
455,Sao Filipe,CV,78.84,few clouds,14.8961,-24.4956,
456,Benghazi,LY,79.74,few clouds,32.1167,20.0667,
461,Port Keats,AU,80.82,broken clouds,-14.25,129.55,
464,Bull Savanna,JM,84.47,broken clouds,17.8868,-77.5902,
466,Namwala,ZM,82.72,broken clouds,-15.7504,26.4384,
468,Takoradi,GH,76.62,broken clouds,4.8845,-1.7554,
470,Latung,PH,83.44,overcast clouds,5.5,120.8833,
471,Maragogi,BR,80.08,few clouds,-9.0122,-35.2225,
474,Tarrega,ES,76.59,clear sky,41.647,1.1396,
482,Itamaraca,BR,82.45,scattered clouds,-7.7478,-34.8256,
486,Baherden,TM,81.93,clear sky,38.4362,57.4316,
490,Qui Nhon,VN,79.07,overcast clouds,13.7667,109.2333,
498,Alpena,US,79.12,scattered clouds,45.0617,-83.4327,
500,Catuday,PH,78.76,light rain,16.2923,119.8062,
502,Nicoya,CR,81.61,broken clouds,10.1483,-85.452,
509,Marzuq,YE,81.75,scattered clouds,14.4,46.4667,
510,Trairi,BR,83.44,clear sky,-3.2778,-39.2689,
516,Makakilo City,US,79.12,few clouds,21.3469,-158.0858,
518,Mayumba,GA,75.69,broken clouds,-3.432,10.6554,
525,Male,MV,82.35,scattered clouds,4.1748,73.5089,
530,Yaan,NG,76.8,light rain,7.3833,8.5667,
533,Edd,ER,89.37,few clouds,13.9297,41.6925,
535,Calamar,CO,89.08,overcast clouds,10.2511,-74.9146,
536,Shenzhen,CN,85.98,overcast clouds,22.5455,114.0683,
537,Licheng,CN,75.24,overcast clouds,23.2955,113.8284,
538,Kumluca,TR,77.5,clear sky,36.3703,30.2869,
539,Nouakchott,MR,87.73,overcast clouds,18.0858,-15.9785,
541,Zambezi,ZM,75.76,broken clouds,-13.5432,23.1047,
545,Acarau,BR,84.54,few clouds,-2.8856,-40.12,
546,Puliyur,IN,84.0,haze,10.6333,78.8333,
550,Merauke,ID,77.65,overcast clouds,-8.4667,140.3333,
552,La Asuncion,VE,78.53,broken clouds,11.0333,-63.8628,
555,Mazatlan,MX,88.92,few clouds,23.2167,-106.4167,
556,Barra Dos Coqueiros,BR,82.42,clear sky,-10.9089,-37.0386,
566,Caravelas,BR,79.9,broken clouds,-17.7125,-39.2481,
567,Witu,KE,77.16,few clouds,-2.3889,40.4382,
571,Ixtapa,MX,85.23,broken clouds,20.7,-105.2,
573,Howard Springs,AU,78.71,broken clouds,-12.497,131.047,
574,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,
576,Misasi,TZ,78.58,overcast clouds,-3.0,33.0833,
580,Tabou,CI,77.77,scattered clouds,4.423,-7.3528,
584,Road Town,VG,87.89,overcast clouds,18.4167,-64.6167,
585,Lumeje,AO,78.3,broken clouds,-11.55,20.7833,
590,Soubre,CI,75.43,light rain,5.7856,-6.6083,
592,Mwense,ZM,82.58,broken clouds,-10.3845,28.698,
594,Ternate,ID,80.11,overcast clouds,0.8,127.4,
596,Birao,CF,77.04,broken clouds,10.2849,22.7882,
598,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,
599,Mayo,US,86.67,clear sky,38.8876,-76.5119,
600,Bairiki,KI,78.8,light rain,1.3292,172.9752,
605,Broome,US,80.71,clear sky,42.2506,-75.833,
606,Sakakah,SA,85.57,clear sky,29.9697,40.2064,
608,Porbandar,IN,79.68,scattered clouds,21.6422,69.6093,
609,Gat,IL,77.68,clear sky,31.61,34.7642,
618,Dakar,SN,86.88,broken clouds,14.6937,-17.4441,
619,Hong Gai,VN,76.91,light rain,20.956,107.0946,
620,Tezu,IN,75.09,overcast clouds,27.9167,96.1667,
621,Adeje,ES,77.56,few clouds,28.1227,-16.726,
622,Nioro,GM,77.97,overcast clouds,13.35,-15.75,
629,Aswan,EG,88.41,clear sky,24.0934,32.907,
638,Matadi,CD,83.12,overcast clouds,-5.8167,13.45,
644,Tahta,EG,84.9,clear sky,26.7693,31.5021,
654,Anloga,GH,78.13,broken clouds,5.7947,0.8973,
658,Yanam,IN,77.77,overcast clouds,16.7333,82.2167,
660,Oussouye,SN,86.09,heavy intensity rain,12.485,-16.5469,
661,Surt,LY,80.31,few clouds,31.2089,16.5887,
668,Nouadhibou,MR,76.98,sand,20.931,-17.0347,
671,Mumbwa,ZM,81.99,overcast clouds,-14.9783,27.0619,
673,Gamba,GA,75.61,broken clouds,-2.65,10.0,
677,Coahuayana,MX,81.88,overcast clouds,18.7333,-103.6833,
678,Nanning,CN,77.45,broken clouds,22.8167,108.3167,
681,Taybad,IR,75.18,clear sky,34.74,60.7756,
682,Kilindoni,TZ,75.76,broken clouds,-7.9139,39.6668,
685,Upata,VE,79.2,overcast clouds,8.0086,-62.3989,
691,Ocumare Del Tuy,VE,85.1,overcast clouds,10.1165,-66.7761,
